"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","卷","期","论文编号","起始页码","结束页码","页码计数","施引文献","DOI","链接","归属机构","带归属机构的作者","摘要","作者关键字","索引关键字","文献类型","出版阶段","开放获取","来源出版物"
"Xie F.; Tang X.; Xiao F.; Luo Y.; Shen H.; Shi Z.","Xie, Feng (58423373100); Tang, Xin (57216825842); Xiao, Fei (35726218700); Luo, Yifei (55636098600); Shen, Haolan (57222269443); Shi, Zenan (57219442639)","58423373100; 57216825842; 35726218700; 55636098600; 57222269443; 57219442639","Online Diagnosis Method for Open-Circuit Fault of NPC Inverter Based on 1D-DSCNN-GMP Lightweight Edge Deployment","2023","IEEE Journal of Emerging and Selected Topics in Power Electronics","11","6","","6054","6067","13","0","10.1109/JESTPE.2023.3316627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173058655&doi=10.1109%2fJESTPE.2023.3316627&partnerID=40&md5=0caa9afa3a874a028365db7c0f040aac","Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Xi'an Jiaotong University, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an, 710049, China","Xie F., Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Tang X., Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Xiao F., Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Luo Y., Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Shen H., Naval University of Engineering, National Key Laboratory of Science and Technology on Electromagnetic Energy, Wuhan, 430033, China; Shi Z., Xi'an Jiaotong University, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an, 710049, China","Due to the open-circuit fault of neutral-point-clamped (NPC) inverter having the characteristics of solid concealment and multiple fault modes, it is necessary to study an accurate and efficient fault diagnosis method to detect and locate the fault in time. However, the existing methods are either based on artificial analytical modeling or signal analysis, which is challenging to model and needs better portability or the model needs to be simplified to implement online applications. Therefore, this article proposes a data-driven fault diagnosis and high-performance online inference method. The diagnosis method simplifies the traditional labeling method by designing labels and takes one-dimensional depth separable convolution (1D-DSC) and global max pooling (GMP) to replace conventional 1-D convolution and local pooling called 1D-DSCNN-GMP. Then, the model is compressed and optimized based on the TensorRT framework. Experiments show that compared with the existing methods, the proposed method can reduce the number of model parameters by more than 90%. The average online inference time of the model after compression and deployment to the edge computing board (ECB) is about 1 ms, only 5% fundamental period, and can maintain 100% diagnostic accuracy, with better online application potential. © 2013 IEEE.","Depth separable convolution; edge computing board (ECB); fault diagnosis; global maximum pooling; neutral-point-clamped (NPC) inverter; online application; TensorRT","Convolution; Edge computing; Electric inverters; Failure analysis; Fault detection; Fault tolerance; Field programmable gate arrays (FPGA); Interactive computer systems; Timing circuits; Adaptation models; Circuit faults; Computational modelling; Depth separable convolution; Edge computing; Edge computing board; Faults diagnosis; Field programmable gate array; Field programmables; Global maximum; Global maximum pooling; Inverter; Neutral-point clamped inverters; On-line applications; Programmable gate array; Real - Time system; Tensorrt; Real time systems","Article","Final","","Scopus"
"Lian C.; Zhao Y.; Shao J.; Sun T.; Dong F.; Ju Z.; Zhan Z.; Shan P.","Lian, Chao (58746805800); Zhao, Yuliang (58100561000); Shao, Jinliang (58746967800); Sun, Tianang (58513908700); Dong, Fanghecong (58515260600); Ju, Zhongjie (58515033300); Zhan, Zhikun (25032290900); Shan, Peng (56134355400)","58746805800; 58100561000; 58746967800; 58513908700; 58515260600; 58515033300; 25032290900; 56134355400","CFI-LFENet: Infusing cross-domain fusion image and lightweight feature enhanced network for fault diagnosis","2024","Information Fusion","104","","102162","","","","0","10.1016/j.inffus.2023.102162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178663788&doi=10.1016%2fj.inffus.2023.102162&partnerID=40&md5=fdfdd919e38f6bcb7c31135a1fc07b55","School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China; Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China","Lian C., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Zhao Y., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Shao J., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Sun T., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Dong F., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Ju Z., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Zhan Z., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China; Shan P., School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China, Hebei Key Laboratory of Micro-Nano Precision Optical Sensing and Measurement Technology, China","Data-driven fault diagnosis has become a hot topic of research in recent years, due to its wide applicability, high accuracy, and ease of modeling. In data-driven fault diagnosis, feature extraction is usually performed through a combination of one-dimensional time domain or frequency domain analysis methods. However, the constraints of data format and diagnostic methods give rise to three primary issues: inadequate utilization, expression, and mining of fault features, thereby impeding the broader application of data-driven methods. This paper presents a fault diagnosis framework that integrates cross-domain fusion images and a lightweight feature-enhanced network to address these issues. We leverage the temporal and frequency features of raw time series data, transforming them into images. This approach not only offers a greater amount of fault information but also highlights the inherent features more prominently. In terms of diagnosis methods, a novel feature-enhanced network model is proposed. This model takes images generated by a cross-domain image fusion module as inputs and then goes through a customized feature extraction module, a feature fusion module, a feature enhancement module, and a classification module to achieve high-precision and fast fault diagnosis. The effectiveness of this framework is validated on two publicly available datasets. The results show that the average accuracy of this fault diagnosis framework can reach 100%, surpassing the findings of existing research. The experiments on noise resistance further showcase the superiority of the proposed framework. It is expected that the framework presented in this study will provide a new perspective and direction for fault diagnosis. © 2023","Convolutional neural network; Data processing; Fault diagnosis; Vibration signals","Computer aided diagnosis; Convolution; Convolutional neural networks; Data handling; Extraction; Fault detection; Feature extraction; Frequency domain analysis; Image enhancement; Image fusion; Metadata; Time domain analysis; Convolutional neural network; Cross-domain; Data-driven fault diagnosis; Faults diagnosis; Features extraction; Fusion image; Fusion modules; High-accuracy; Hot topics; Vibration signal; Failure analysis","Article","Final","","Scopus"
"Cui Z.; Cao H.; Ai Z.; Wang J.","Cui, Zhichao (58648637700); Cao, Hui (36633799600); Ai, Zeren (58648637800); Wang, Jihui (58647443100)","58648637700; 36633799600; 58648637800; 58647443100","A Multi-Adversarial Joint Distribution Adaptation Method for Bearing Fault Diagnosis under Variable Working Conditions","2023","Applied Sciences (Switzerland)","13","19","10606","","","","1","10.3390/app131910606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174161086&doi=10.3390%2fapp131910606&partnerID=40&md5=e9529af2e094a0931d9cee7b442bff0a","Marine Engineering College, Dalian Maritime University, Dalian, 116026, China; Dalian Maritime University Smart Ship Limited Company, Dalian, 116026, China","Cui Z., Marine Engineering College, Dalian Maritime University, Dalian, 116026, China; Cao H., Marine Engineering College, Dalian Maritime University, Dalian, 116026, China, Dalian Maritime University Smart Ship Limited Company, Dalian, 116026, China; Ai Z., Marine Engineering College, Dalian Maritime University, Dalian, 116026, China; Wang J., Marine Engineering College, Dalian Maritime University, Dalian, 116026, China","Deep network fault diagnosis requires a lot of labeled data and assumes identical data distributions for training and testing. In industry, varying equipment conditions lead to different data distributions, making it challenging to maintain consistent fault diagnosis performance across conditions. To this end, this paper designs a transfer learning model named the multi-adversarial joint distribution adaptation network (MAJDAN) to achieve effective fault diagnosis across operating conditions. MAJDAN uses a one-dimensional lightweight convolutional neural network (1DLCNN) to directly extract features from the original bearing vibration signal. Combining the distance-based domain-adaptive method, maximum mean difference (MMD), with the multi-adversarial network will simultaneously reduce the conditional and marginal distribution differences between the domains. As a result, MAJDAN can efficiently acquire domain-invariant feature information, addressing the challenge of cross-domain bearing fault diagnosis. The effectiveness of the model was verified based on two sets of different bearing vibration signals, and one-to-one and one-to-many working condition migration task experiments were carried out. Simultaneously, various levels of noise were introduced to the signal to enable analysis and comparison. The findings demonstrate that the suggested approach achieves exceptional diagnostic accuracy and exhibits robustness. © 2023 by the authors.","deep transfer learning; intelligent diagnosis; multi-adversarial domain adaptation; rolling bearing","","Article","Final","All Open Access; Gold Open Access","Scopus"
"Husari F.; Seshadrinath J.","Husari, Fatimatelbatoul (57216709939); Seshadrinath, Jeevanand (55509070600)","57216709939; 55509070600","Stator Turn Fault Diagnosis and Severity Assessment in Converter-Fed Induction Motor Using Flat Diagnosis Structure Based on Deep Learning Approach","2023","IEEE Journal of Emerging and Selected Topics in Power Electronics","11","6","","5649","5657","8","5","10.1109/JESTPE.2022.3184754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133808089&doi=10.1109%2fJESTPE.2022.3184754&partnerID=40&md5=9919dfb0e43252a974b54e312ac8f739","the Department of Electrical Engineering, IIT Roorkee, Roorkee, 247667, India","Husari F., the Department of Electrical Engineering, IIT Roorkee, Roorkee, 247667, India; Seshadrinath J., the Department of Electrical Engineering, IIT Roorkee, Roorkee, 247667, India","— This work aims to explore the hybrid deep learning techniques for early interturn fault diagnosis and fault severity assessment in variable frequency induction motor drive. However, the existing literature mostly focuses on identifying the fault patterns, whereas the assessment of fault deterioration before it reaches the extreme degradation state has been less investigated. In this article, a hybrid structure combining 2-D convolution neural network (2DCNN) and long-short term memory/gated recurrent unit (LSTM/GRU) has been modeled as a relatively lightweight flat diagnosis structure (FDS) for early fault identification and its severity assessment simultaneously in converter-fed induction motor. Initially, the hierarchical layers of 2DCNN extract the effective features automatically for fault detection and its severity identification simultaneously. Then, these features are presented as suitable inputs to LSTM/GRU for classification. A comparative evaluation of the proposed hybrid method with the standalone structure, namely, 2DCNN, LSTM, and support vector machine (SVM), proves the advantages of the proposed scheme and its applicability for both fault diagnosis and fault severity assessment in industrial drive systems, under variable frequencies and load variations. © 2022 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.","2-D convolution neural network (2DCNN); deep learning; feature extraction; flat diagnosis structure (FDS); induction motor; long-short term memory (LSTM); variable frequency drive","Convolution; Digital storage; Electric drives; Electric inverters; Extraction; Failure analysis; Fault detection; Induction motors; Long short-term memory; Timing circuits; Variable speed drives; 2DCNN; Circuit faults; Deep learning; Fault diagnose structure; Faults detection; Faults diagnosis; Features extraction; Inductions motors; Inverter; LSTM; Variable frequency drives; Feature extraction","Article","Final","","Scopus"
"Jiao J.; Li H.; Zhang T.; Lin J.","Jiao, Jinyang (57200625233); Li, Hao (57223900031); Zhang, Tian (57222104417); Lin, Jing (55710008100)","57200625233; 57223900031; 57222104417; 55710008100","Source-Free Adaptation Diagnosis for Rotating Machinery","2023","IEEE Transactions on Industrial Informatics","19","9","","9586","9595","9","11","10.1109/TII.2022.3231414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146255666&doi=10.1109%2fTII.2022.3231414&partnerID=40&md5=6d47f7b997dd869d4c9ded5dd23f9eed","Beihang University, School of Reliability and Systems Engineering, Beijing, 100191, China; Beihang University, Science and Technology on Reliability and Environmental Engineering Laboratory, Beijing, 100191, China","Jiao J., Beihang University, School of Reliability and Systems Engineering, Beijing, 100191, China, Beihang University, Science and Technology on Reliability and Environmental Engineering Laboratory, Beijing, 100191, China; Li H., Beihang University, School of Reliability and Systems Engineering, Beijing, 100191, China; Zhang T., Beihang University, School of Reliability and Systems Engineering, Beijing, 100191, China; Lin J., Beihang University, School of Reliability and Systems Engineering, Beijing, 100191, China","Domain adaptation technology has been intensively studied in machine fault diagnosis for more reliable diagnosis performance. Nonetheless, most approaches rely on the availability of source data, which is always unattainable in many practical industrial scenarios due to the costs of expensive data storage and transmission as well as privacy protection. As a consequence, there is an urgent need to design an adaptation method that is independent of source data. This technology is also more in line with the requirements for lightweight and timely diagnosis. Given this, in this article, we develop a novel source-free adaptation diagnosis (SFAD) method. In SFAD, a robust self-training mechanism and a target prediction matrix constraint are presented, achieving model adaption with only unlabeled target data. Extensive experiments on our own and public datasets demonstrate the effectiveness and superiority of the proposed method. © 2005-2012 IEEE.","Fault diagnosis; model adaptation; rotating machinery; source-free","Digital storage; Failure analysis; Fault detection; Rotating machinery; Adaptation models; Diagnosis for rotating machinery; Domain adaptation; Faults diagnosis; Features extraction; Model Adaptation; Reliability (engineering); Source data; Source-free; Feature extraction","Article","Final","","Scopus"
"Yang J.; Gao T.; Yan G.; Yang C.; Li G.","Yang, Jingli (36697399000); Gao, Tianyu (57211568031); Yan, Ge (57209107940); Yang, Cheng (56590660800); Li, Gangqiang (58479217500)","36697399000; 57211568031; 57209107940; 56590660800; 58479217500","A fault location method based on ensemble complex spatio-temporal attention network for complex systems under fluctuating operating conditions[Formula presented]","2023","Applied Soft Computing","144","","110489","","","","0","10.1016/j.asoc.2023.110489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164284489&doi=10.1016%2fj.asoc.2023.110489&partnerID=40&md5=b5955d2d73e1ca7a191db8bb0077a0fe","Harbin Institute of Technology, No. 2 Yi-Kuang Street, Nangang District, Harbin, Heilongjiang, Harbin, 150080, China; China Institute of Marine Technology and Economy, No. 70 Xueyuan South Road, Haidian District, Beijing, Beijing, Beijing, 100081, China; Science and Technology on Water Jet Propulsion Laboratory, No. 1688 Tibet South Road, Huangpu District, Shanghai, Shanghai, Shanghai, 200011, China","Yang J., Harbin Institute of Technology, No. 2 Yi-Kuang Street, Nangang District, Harbin, Heilongjiang, Harbin, 150080, China; Gao T., Harbin Institute of Technology, No. 2 Yi-Kuang Street, Nangang District, Harbin, Heilongjiang, Harbin, 150080, China; Yan G., China Institute of Marine Technology and Economy, No. 70 Xueyuan South Road, Haidian District, Beijing, Beijing, Beijing, 100081, China; Yang C., China Institute of Marine Technology and Economy, No. 70 Xueyuan South Road, Haidian District, Beijing, Beijing, Beijing, 100081, China; Li G., Science and Technology on Water Jet Propulsion Laboratory, No. 1688 Tibet South Road, Huangpu District, Shanghai, Shanghai, Shanghai, 200011, China","Recently, traditional fault diagnosis methods achieve fault identification by establishing a sample set covering all fault degrees of different fault components in complex systems. However, the uncertainties including environmental stresses and own physical and chemical variations lead to an infinite number of fault degrees of fault components, and the fault identification of complex systems in practical engineering applications faces the challenge of fluctuating operating conditions due to variations of rotational speed and load. To address the above problem, a fault location method based on ensemble complex spatio-temporal attention network (ECSAN) is proposed in this paper, which can identify the critical fault components of complex systems by combining an ensemble learning mechanism with excellent basic estimators. A basic estimator consists of a feature extraction module, a feature enhancement module, and a classification module. In the first module, a complex spatio-temporal backbone network with strong generalization is developed to provide spatio-temporal features containing the inherent information of the sample data for complex systems. In the feature enhancement module, a lightweight complex attention layer is constructed to enhance the effective structural information of the features and reduce the interference of their redundant information. The classification module then adopts a Softmax layer to perform fault classification. Finally, an ensemble learning mechanism is designed to integrate the basic estimators. By constructing sample weights and introducing a knowledge transfer strategy, the generalization is further improved while saving training expenses. Two datasets from different experimental platforms are concerned to verify the effectiveness and superiority of this method under various operating conditions and fault degrees. The experimental results indicate that this method achieves 99.81% accuracy on a standard dataset of the mechanical system and 98.88% accuracy on a real dataset of the closed-loop control system of the water jet propulsion device, which is superior to comparison approaches. © 2023 Elsevier B.V.","Attention mechanism; Complex network; Ensemble learning; Fault location; Fluctuating operating conditions","Closed loop control systems; Complex networks; Fault detection; Knowledge management; Location; Attention mechanisms; Ensemble learning; Fault component; Fault identifications; Feature enhancement; Fluctuating operating condition; Learning mechanism; Location method; Operating condition; Spatio-temporal; Learning systems","Article","Final","","Scopus"
"Chang M.; Yao D.; Yang J.","Chang, Meng (58170047200); Yao, Dechen (26039622000); Yang, Jianwei (35119682400)","58170047200; 26039622000; 35119682400","Intelligent Fault Diagnosis of Rolling Bearings Using Efficient and Lightweight ResNet Networks Based on an Attention Mechanism (September 2022)","2023","IEEE Sensors Journal","23","9","","9136","9145","9","4","10.1109/JSEN.2023.3251654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151517282&doi=10.1109%2fJSEN.2023.3251654&partnerID=40&md5=346470a64dcbffba4ffe4f2c3c2e2a64","Beijing University of Civil Engineering and Architecture, School of Mechanical-Electronic and Vehicle Engineering, Beijing, 100044, China","Chang M., Beijing University of Civil Engineering and Architecture, School of Mechanical-Electronic and Vehicle Engineering, Beijing, 100044, China; Yao D., Beijing University of Civil Engineering and Architecture, School of Mechanical-Electronic and Vehicle Engineering, Beijing, 100044, China; Yang J., Beijing University of Civil Engineering and Architecture, School of Mechanical-Electronic and Vehicle Engineering, Beijing, 100044, China","Focusing on the problems of complex structure and low feature extraction efficiency that exist in some traditional neural network algorithms, an improved convolutional neural network (CNN), combined with a convolutional attention mechanism, is proposed to improve the network feature extraction efficiency and reduce the network complexity. First, the convolutional block attention module (CBAM) was introduced, which can strengthen the extraction of useful features from the data, thereby improving the network feature extraction efficiency. Second, the residual structure was optimized, and the original multilayer convolution was simplified to a single-layer convolution, which reduces the complexity of the model and improves the diagnostic efficiency. Then, the rectified linear unit (ReLU) activation function in the model was replaced with the better-performing exponential linear unit (ELU) activation function. Finally, the overall structure of the residual network (ResNet) model was optimized. The CBAM-ResNet network model was based on the traditional ResNet18 model and consists of a CBAM module and the optimized ResNet18 model. Finally, experiments were using sensor data collected from rolling bearing test benches. The experimental results show that the feature extraction capability and efficiency of the new model are better than those of several other classic deep network models and the original network model, and this reduces the time complexity and model size while also maintaining a high accuracy rate. © 2001-2012 IEEE.","Convolutional block attention module (CBAM); fault diagnosis; feature extraction; neural network; residual network (ResNet)","Chemical activation; Complex networks; Convolution; Efficiency; Extraction; Fault detection; Neural networks; Roller bearings; Attention mechanisms; Convolutional block attention module module; Extraction efficiencies; Faults diagnosis; Features extraction; Network features; Network models; Neural-networks; Resnet network; Rolling bearings; Feature extraction","Article","Final","","Scopus"
"Yang W.; Ke Y.; Zhao H.; Hu D.; Zhao C.","Yang, Wei (57212396921); Ke, Yanguo (57195635207); Zhao, Hengyang (56967276900); Hu, Di (57982292800); Zhao, Changwei (57195637086)","57212396921; 57195635207; 56967276900; 57982292800; 57195637086","Insulation and Mechanical Fault Diagnosis Method for GIS Based on Lightweight Convolution Neural Network; [基于轻量级卷积神经网络的 GIS 绝缘和机械故障诊断方法]","2023","Gaoya Dianqi/High Voltage Apparatus","59","9","","201","210","9","0","10.13296/j.1001-1609.hva.2023.09.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174177826&doi=10.13296%2fj.1001-1609.hva.2023.09.024&partnerID=40&md5=4c5f027b35bec4142adf0a301db51b3c","State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China","Yang W., State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China; Ke Y., State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China; Zhao H., State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China; Hu D., State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China; Zhao C., State Grid Anhui Electric Power Company Limited Research Institude, Hefei, 230022, China","Insulation and mechanical fault is the type of faults with the largest proportion in gas insulated metal-enclosed switchgear (GIS). Accurate fault diagnosis and state evaluation are of great significance to ensure safe and stable operation of power system.Deep learning method has become the mainstream in the field of fault diagnosis, but traditional convolution neural network requires powerful computing resources and is hard to be used in the intelligent terminal devices with average computing ability. Therefore, a kind of insulation and mechanical fault diagnosis method for GIS based on lightweight convolution neural network was proposed in this paper.Firstly, the spatially separable convolution was used to replace the traditional convolution to construct the EffNet lightweight convolution neural network, which effectively reduces the calculation of the model. Secondly, model training was implemented by using transfer learning strategies, which speeds up the accuracy of network recognition and accelerates the convergence rate of the model at the same time, and the problem of insufficient field data was solved. Finally, the convolution neural network features were visualized by t-distribution random neighboring embedding and the performance of model was verified further. The research results show that the accuracy of the lightweight network model with 5 EffNet convolution blocks is 94.7% and 98.7% respectively in the insulation and mechanical fault diagnosis, which reduces remarkably the reference quantity, storage and computing overhead.The method proposed in this paper is suitable for GIS intelligent components and detection instruments, which is the best choice for the embedded system and mobile terminal in power internet of Things. © 2023 Xi'an High Voltage Apparatus Research Institute. All rights reserved.","fault diagnosis; gas insulated metal-enclosed switchgear(GIS); lightweight convolution neural network; power internet of Things; transfer learning","","Article","Final","","Scopus"
"Tang T.; Qiu C.; Yang T.; Wang J.; Zhao J.; Chen M.; Wu J.; Wang L.","Tang, Tang (57204068365); Qiu, Chuanhang (57729129400); Yang, Tianyuan (57729173500); Wang, Jingwei (57201302009); Zhao, Jun (57226821774); Chen, Ming (56482364800); Wu, Jie (57203272646); Wang, Liang (57075014200)","57204068365; 57729129400; 57729173500; 57201302009; 57226821774; 56482364800; 57203272646; 57075014200","A novel lightweight relation network for cross-domain few-shot fault diagnosis","2023","Measurement: Journal of the International Measurement Confederation","213","","112697","","","","3","10.1016/j.measurement.2023.112697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150462034&doi=10.1016%2fj.measurement.2023.112697&partnerID=40&md5=5dd21ea11ebfe2580114e8c5dde88906","School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Baowu Equipment Intelligent Technology Co., Ltd, Shanghai, 200941, China","Tang T., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Qiu C., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Yang T., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Wang J., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Zhao J., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Chen M., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China; Wu J., Baowu Equipment Intelligent Technology Co., Ltd, Shanghai, 200941, China; Wang L., School of Mechanical Engineering, Tongji University, Shanghai, 201804, China","Recently, the progress of intelligent fault diagnosis shows deep learning-based methods with large data have achieved great success. Nevertheless, in engineering practice, limited labelled data, and various working conditions seriously hinder the widespread application of most deep learning-based fault diagnosis methods. Besides, increasingly complex networks for obtaining powerful feature representation are difficult to deploy in the industry, due to the problem of model efficiency. To address these problems, a novel lightweight relation network (NLRN) is proposed in this paper. The lightweight encoder module in NLRN achieves a strong feature extraction capability with fewer parameters, which means higher model efficiency. Furthermore, a calibration method based on semi-supervised learning is designed to alleviate domain shift due to cross-domain problems, as well as to improve the unreliability of relation networks in few-shot problems. We choose rolling bearings as the research object and three bearing datasets are utilized to demonstrate the effectiveness of the proposed models. The results of our experiment indicate that NLRN has an aptitude to deal with cross-domain few-shot problems. In comparison with other approaches, the proposed method is superior for fault diagnosis under various working conditions with few samples. © 2023 Elsevier Ltd","Cross-domain; Fault diagnosis; Few-shot learning; Lightweight network; Relation network","Complex networks; Deep learning; Efficiency; Fault detection; Roller bearings; Condition; Cross-domain; Faults diagnosis; Few-shot learning; Intelligent fault diagnosis; Large data; Learning-based methods; Lightweight network; Model efficiency; Relation network; Failure analysis","Article","Final","","Scopus"
"Kong X.; Meng L.; Su Y.; Xu T.; Lan X.; Li Y.","Kong, Xiaojia (56359140400); Meng, Liang (57669380600); Su, Yuanhao (57669711600); Xu, Tongle (13905755100); Lan, Xiaosheng (57735562900); Li, Yunfeng (57736718800)","56359140400; 57669380600; 57669711600; 13905755100; 57735562900; 57736718800","Untrained Compound Fault Diagnosis for Planetary Gearbox Based on Adaptive Learning VMD and DSSECNN","2023","IEEE Sensors Journal","23","11","","11838","11854","16","1","10.1109/JSEN.2023.3265724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153505484&doi=10.1109%2fJSEN.2023.3265724&partnerID=40&md5=f90cd88d1e7893b9d0914d2c367544f7","Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China; Zibo Vocational Institute, School of Intelligent Manufacturing, Zibo, 255300, China","Kong X., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China, Zibo Vocational Institute, School of Intelligent Manufacturing, Zibo, 255300, China; Meng L., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China; Su Y., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China; Xu T., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China; Lan X., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China; Li Y., Shandong University of Technology, School of Mechanical Engineering, Zibo, 255049, China","Fault coupling and fault override are common phenomena when faults occur in different parts of the planetary gearbox. Labeled compound fault samples are very rare or even unavailable in industrial scenarios. Thus, it is a challenging task to decouple the compound fault and detect the compound fault with unequal severity only utilizing single faults. In this article, an untrained planetary gearbox compound fault diagnosis method based on adaptive learning variational mode decomposition (ALVMD) and dual-scale squeeze-and-excitation convolutional neural network (DSSECNN) is proposed. An ALVMD algorithm is established to enhance weak fault characteristics and enrich the diversity of sample information. The DSSECNN intelligent fault diagnosis model is presented, and the lightweight SENet can enhance the sensitivity of the model to channel features. Moreover, the mapping relationship between the compound fault mode and single faults is revealed through the proposed probability formula, which can reduce the dependence of the training model on compound fault samples. Experiments have been performed on the gearbox fault experiment bench in the laboratory to verify the effectiveness and generalization performance of the method. Besides, wind turbine gearbox test results show that the ALVMD-DSSECNN can achieve the highest average accuracy of 98.83% compared with other related methods in variable working conditions, which has a certain guiding significance for practical engineering.  © 2001-2012 IEEE.","Fault diagnosis; squeeze-and-excitation network (SENet); untrained compound fault; variational mode decomposition (VMD); wind turbine gearbox","Convolution; Failure analysis; Fault detection; Feature extraction; Gears; Neural networks; Compound; Compound faults; Convolutional neural network; Faults diagnosis; Features extraction; SENet; Untrained compound fault; VMD; Wind turbine gearboxes; Wind turbines","Article","Final","","Scopus"
